gene_symbol	organism	Donor	method	condition	value
CD40	hs	2	expr	DC + Afu 0h	487.501691015325
CD40	hs	2	expr	DC + CMV 0h	455.564331152477
CD40	hs	2	expr	DC + (CMV, Afu) 0h	1072.84441284205
ZBP1	hs	2	expr	DC	1.00061172635671
ZBP1	hs	2	expr	DC + Afu 0h	0.587351434958223
ZBP1	hs	2	expr	DC + CMV 0h	89.4285614850373
ZBP1	hs	2	expr	DC + (CMV, Afu) 0h	135.73945242144
IL15	hs	3	expr	DC	19.4491711423033
IL15	hs	3	expr	DC + Afu 0h	85.982706053224
IL15	hs	3	expr	DC + CMV 0h	185.354650436737
IL15	hs	3	expr	DC + (CMV, Afu) 0h	88.8726917238806
TLR3	hs	3	expr	DC	7.8847991117446
TLR3	hs	3	expr	DC + Afu 0h	6.25328771296175
TLR3	hs	3	expr	DC + CMV 0h	150.68908604208
TLR3	hs	3	expr	DC + (CMV, Afu) 0h	20.3563148641291
VEGFA	hs	3	expr	DC	114.066760483239
VEGFA	hs	3	expr	DC + Afu 0h	866.080348245202
VEGFA	hs	3	expr	DC + CMV 0h	44.5700113645589
VEGFA	hs	3	expr	DC + (CMV, Afu) 0h	46.1740800576587
IFNG	hs	3	expr	DC	0
IFNG	hs	3	expr	DC + Afu 0h	9.37993156944262
IFNG	hs	3	expr	DC + CMV 0h	0
IFNG	hs	3	expr	DC + (CMV, Afu) 0h	18.8668284106562
CCR7	hs	3	expr	DC	43.1035684775372
CCR7	hs	3	expr	DC + Afu 0h	179.78202174765
CCR7	hs	3	expr	DC + CMV 0h	87.0176412355674
CCR7	hs	3	expr	DC + (CMV, Afu) 0h	96.3201239912449
CD40	hs	3	expr	DC	241.800506093501
CD40	hs	3	expr	DC + Afu 0h	765.246083873694
CD40	hs	3	expr	DC + CMV 0h	364.342156392823
CD40	hs	3	expr	DC + (CMV, Afu) 0h	147.955654378304
ZBP1	hs	3	expr	DC	0.525653274116307
ZBP1	hs	3	expr	DC + Afu 0h	0.781660964120218
ZBP1	hs	3	expr	DC + CMV 0h	166.960677492633
ZBP1	hs	3	expr	DC + (CMV, Afu) 0h	26.3142606780205
IL15	hs	4	expr	DC	20.7772515498129
IL15	hs	4	expr	DC + Afu 0h	27.3352815797896
IL15	hs	4	expr	DC + CMV 0h	258.953058498143
IL15	hs	4	expr	DC + (CMV, Afu) 0h	113.264455686107
TLR3	hs	4	expr	DC	15.3905567035651
TLR3	hs	4	expr	DC + Afu 0h	1.24251279908135
TLR3	hs	4	expr	DC + CMV 0h	133.014139337844
TLR3	hs	4	expr	DC + (CMV, Afu) 0h	12.9297323842588
VEGFA	hs	4	expr	DC	213.928738179555
VEGFA	hs	4	expr	DC + Afu 0h	602.618707554453
VEGFA	hs	4	expr	DC + CMV 0h	62.9694595801496
VEGFA	hs	4	expr	DC + (CMV, Afu) 0h	105.506616255552
IFNG	hs	4	expr	DC	0
IFNG	hs	4	expr	DC + Afu 0h	3.10628199770336
IFNG	hs	4	expr	DC + CMV 0h	18.3955724616167
IFNG	hs	4	expr	DC + (CMV, Afu) 0h	38.7891971527765
CCR7	hs	4	expr	DC	56.1755319680127
CCR7	hs	4	expr	DC + Afu 0h	109.962382718699
CCR7	hs	4	expr	DC + CMV 0h	62.9694595801496
CCR7	hs	4	expr	DC + (CMV, Afu) 0h	161.36306015555
CD40	hs	4	expr	DC	362.447610368959
CD40	hs	4	expr	DC + Afu 0h	441.713300073418
CD40	hs	4	expr	DC + CMV 0h	754.218470926286
CD40	hs	4	expr	DC + (CMV, Afu) 0h	315.485470175916
ZBP1	hs	4	expr	DC	0
ZBP1	hs	4	expr	DC + Afu 0h	0
ZBP1	hs	4	expr	DC + CMV 0h	202.351297077784
ZBP1	hs	4	expr	DC + (CMV, Afu) 0h	18.6188146333327
