variable	condition	condition2	value	replicate
RANTES (42)	DC + CMV 2h + Afu 0h	CoI	95.66	3
RANTES (42)	DC + CMV 2h + Afu 0h	CoI	116.52	4
RANTES (42)	DC + CMV 2h	SI CMV	8.74	1
RANTES (42)	DC + CMV 2h	SI CMV	1.57	2
RANTES (42)	DC + CMV 2h	SI CMV	16.37	3
RANTES (42)	DC + CMV 2h	SI CMV	11.7	4
RANTES (42)	Afu 0h	SC Afu	0	1
RANTES (42)	Afu 0h	SC Afu	0	2
RANTES (42)	Afu 0h	SC Afu	0	3
RANTES (42)	Afu 0h	SC Afu	0	4
RANTES (42)	Afu 4.5h	SC Afu	0	1
RANTES (42)	Afu 4.5h	SC Afu	0	2
RANTES (42)	Afu 4.5h	SC Afu	0	3
RANTES (42)	Afu 4.5h	SC Afu	1.39	4
TNF-alpha (45)	DC	SC moDC	11.77	1
TNF-alpha (45)	DC	SC moDC	3.39	2
TNF-alpha (45)	DC	SC moDC	18.85	3
TNF-alpha (45)	DC	SC moDC	2.36	4
TNF-alpha (45)	DC + Afu 0h	SI Afu	3979.82	1
TNF-alpha (45)	DC + Afu 0h	SI Afu	3312.22	2
TNF-alpha (45)	DC + Afu 0h	SI Afu	3616.99	3
TNF-alpha (45)	DC + Afu 0h	SI Afu	6988.49	4
TNF-alpha (45)	DC + Afu 4.5h	SI Afu	2002.37	1
TNF-alpha (45)	DC + Afu 4.5h	SI Afu	2112.17	2
TNF-alpha (45)	DC + Afu 4.5h	SI Afu	3455.33	3
TNF-alpha (45)	DC + Afu 4.5h	SI Afu	2909.94	4
TNF-alpha (45)	DC + CMV 0h	SI CMV	30.08	1
TNF-alpha (45)	DC + CMV 0h	SI CMV	39.47	2
TNF-alpha (45)	DC + CMV 0h	SI CMV	42.8	3
TNF-alpha (45)	DC + CMV 0h	SI CMV	73.45	4
TNF-alpha (45)	DC + CMV 0h + Afu 0h	CoI	4023.14	1
TNF-alpha (45)	DC + CMV 0h + Afu 0h	CoI	3180.47	2
TNF-alpha (45)	DC + CMV 0h + Afu 0h	CoI	5539.05	3
TNF-alpha (45)	DC + CMV 0h + Afu 0h	CoI	7127.25	4
TNF-alpha (45)	DC + CMV 0h + Afu 4.5h	CoI	2182.75	1
TNF-alpha (45)	DC + CMV 0h + Afu 4.5h	CoI	2793.6	2
TNF-alpha (45)	DC + CMV 0h + Afu 4.5h	CoI	3940.72	3
TNF-alpha (45)	DC + CMV 0h + Afu 4.5h	CoI	3874.25	4
TNF-alpha (45)	DC + CMV 2h + Afu 0h	CoI	3587.65	1
TNF-alpha (45)	DC + CMV 2h + Afu 0h	CoI	2970.64	2
TNF-alpha (45)	DC + CMV 2h + Afu 0h	CoI	4556.36	3
TNF-alpha (45)	DC + CMV 2h + Afu 0h	CoI	10011.91	4
TNF-alpha (45)	DC + CMV 2h	SI CMV	30.79	1
TNF-alpha (45)	DC + CMV 2h	SI CMV	32.22	2
TNF-alpha (45)	DC + CMV 2h	SI CMV	27.93	3
TNF-alpha (45)	DC + CMV 2h	SI CMV	20.14	4
TNF-alpha (45)	Afu 0h	SC Afu	0.16	1
TNF-alpha (45)	Afu 0h	SC Afu	0.63	2
TNF-alpha (45)	Afu 0h	SC Afu	0.16	3
TNF-alpha (45)	Afu 0h	SC Afu	0.16	4
TNF-alpha (45)	Afu 4.5h	SC Afu	0.63	1
TNF-alpha (45)	Afu 4.5h	SC Afu	0.63	2
TNF-alpha (45)	Afu 4.5h	SC Afu	0.16	3
TNF-alpha (45)	Afu 4.5h	SC Afu	0	4
