variable	condA	condB	Mean_A	Mean_B	Pvalue	padj
IL-23 (63)	7. DC + Afu + CMV	1. DC alone	5.97	10.02	0.384	0.384
I-TAC (46)	7. DC + Afu + CMV	8. DC + CMV	229.87	145.2	0.343	0.392
IL-17A (36)	6. DC + Afu + CMV	3. DC + Afu	8.94	6.67	0.245	0.392
IL-6 (25)	6. DC + Afu + CMV	3. DC + Afu	7636.34	3602.68	0.309	0.392
IL-1beta (18)	6. DC + Afu + CMV	3. DC + Afu	154.07	425.61	0.343	0.392
IL-8 (27)	6. DC + Afu + CMV	3. DC + Afu	6296.08	6483.93	0.343	0.392
TNF-alpha (45)	6. DC + Afu + CMV	3. DC + Afu	3197.83	2619.95	0.343	0.392
IFN-gamma (43)	3. DC + Afu	1. DC alone	4.73	3.04	0.561	0.601071428571429
IP-10 (22)	5. DC + Afu + CMV	1. DC alone	1313.08	30.7	0.0286	0.036184615384615
TNF-alpha (45)	5. DC + Afu + CMV	1. DC alone	4967.48	9.09	0.0286	0.036184615384615
IL-6 (25)	5. DC + Afu + CMV	1. DC alone	7078.54	101.07	0.0294	0.036184615384615
RANTES (42)	5. DC + Afu + CMV	1. DC alone	140.09	0.45	0.0294	0.036184615384615
I-TAC (46)	6. DC + Afu + CMV	1. DC alone	488.68	7.45	0.0265	0.036184615384615
IFN-beta (30)	6. DC + Afu + CMV	1. DC alone	595.42	30.78	0.0286	0.036184615384615
IL-10 (28)	6. DC + Afu + CMV	1. DC alone	52.79	12.07	0.0286	0.036184615384615
IL-1alpha (62)	6. DC + Afu + CMV	1. DC alone	13.81	3.46	0.0286	0.036184615384615
IL-8 (27)	7. DC + Afu + CMV	1. DC alone	6153.41	980.66	0.0286	0.036184615384615
IP-10 (22)	7. DC + Afu + CMV	1. DC alone	1382.21	30.7	0.0286	0.036184615384615
IL-2 (19)	2. DC + Afu	1. DC alone	50.49	0	0.0211	0.052266666666667
IL-10 (28)	2. DC + Afu	1. DC alone	810.29	12.07	0.0286	0.052266666666667
IL-8 (27)	2. DC + Afu	1. DC alone	6186.54	980.66	0.0286	0.052266666666667
IP-10 (22)	2. DC + Afu	1. DC alone	736.17	30.7	0.0286	0.052266666666667
IL-8 (27)	7. DC + Afu + CMV	8. DC + CMV	6153.41	1574.3	0.0286	0.052266666666667
IL-2 (19)	7. DC + Afu + CMV	8. DC + CMV	49.69	6.74	0.0294	0.052266666666667
I-TAC (46)	6. DC + Afu + CMV	3. DC + Afu	488.68	0	0.0211	0.0588
IFN-beta (30)	6. DC + Afu + CMV	3. DC + Afu	595.42	44.78	0.0286	0.0588
IFN-beta (30)	4. DC + CMV	1. DC alone	646.31	30.78	0.0286	0.0672
IL-1alpha (62)	4. DC + CMV	1. DC alone	7.05	3.46	0.0286	0.0672
IL-17A (36)	5. DC + Afu + CMV	1. DC alone	9.78	3.83	0.0591	0.067542857142857
IL-10 (28)	3. DC + Afu	1. DC alone	160.5	12.07	0.0286	0.0715
IL-10 (28)	6. DC + Afu + CMV	4. DC + CMV	52.79	10.86	0.0286	0.076266666666667
IL-1alpha (62)	6. DC + Afu + CMV	4. DC + CMV	13.81	7.05	0.0286	0.076266666666667
IL-1beta (18)	6. DC + Afu + CMV	4. DC + CMV	154.07	1.74	0.0286	0.076266666666667
IL-8 (27)	6. DC + Afu + CMV	4. DC + CMV	6296.08	989.04	0.0286	0.076266666666667
I-TAC (46)	8. DC + CMV	1. DC alone	145.2	7.45	0.0265	0.0858
IFN-beta (30)	8. DC + CMV	1. DC alone	392.43	30.78	0.0286	0.0858
RANTES (42)	3. DC + Afu	1. DC alone	4.68	0.45	0.0591	0.1108125
IL-12p70 (34)	5. DC + Afu + CMV	4. DC + CMV	2.02	0.61	0.0591	0.1182
IL-23 (63)	8. DC + CMV	1. DC alone	1.75	10.02	0.0571	0.122357142857143
IL-6 (25)	6. DC + Afu + CMV	4. DC + CMV	7636.34	1372.63	0.0591	0.135085714285714
