	fastq_files	reads_mapped_Hsapiens	reads_mapped_Afumigatus	reads_mapped_CMV	percentage_reads_mapped_Hsapiens	percentage_reads_mapped_Afumigatus	percentage_reads_mapped_CMV	genome_coverage_Hsapiens	genome_coverage_Afumigatus	genome_coverage_CMV	reads_mapping_in_exons_Hsapiens	reads_mapping_in_exons_Afumigatus	reads_mapping_in_exons_CMV	percentage_reads_mapping_in_exons_Hsapiens	percentage_reads_mapping_in_exons_Afumigatus	percentage_reads_mapping_in_exons_CMV	exon_coverage_Hsapiens	exon_coverage_Afumigatus	exon_coverage_CMV
Donor3_08_DC_plus_CMV_2h	ID-005869-DC_+_CMV_2h.fq.gz	23704538	87859	257335	117.921097831249	0.437065246087299	1.28014415258397	0.563600830867265	0.220094094518646	82.8009769329841	5647322	902	199213	28.0932878778977	0.004487108343718	0.991009217823889	3.17861111981332	0.004555973044928	81.1580499192951
Donor3_09_Afu_alone_0h	ID-005870-Afu_alone_0h.fq.gz	133775	23398966	2	0.598652333021197	104.711983451195	8.95E-06	0.003176755775172	58.5446938858011	0.000642740013098	45587	4095196	2	0.204004962851335	18.3262839811555	8.95E-06	0.025627403059086	20.6594159607101	0.000813790587377
Donor3_10_Afu_alone_4h30min	ID-005871-Afu_alone_4.5h.fq.gz	297632	24458604	2	1.24816627142156	102.570975428907	8.39E-06	0.007063817034077	61.1608467297812	0.000642371534599	155575	4250391	2	0.652428057723664	17.824678416816	8.39E-06	0.087408636682013	21.4300498546697	0.000813324046743
Donor4_01_DC_alone	ID-005872-DC_alone.fq.gz	23192771	391713	2	105.525787553057	1.78227184754124	9.10E-06	0.551085101667005	0.980654487466444	0.000643120716001	6952385	43326	1	31.6329559110062	0.197130833203319	4.55E-06	3.91070054742055	0.218700162035544	0.000407136302831
Donor4_02_DC_plus_Afu_0h	ID-005873-DC_+_Afu_0h.fq.gz	19331080	3571616	4	92.7266773177268	17.1322080470843	1.92E-05	0.459827337731098	8.95128601002674	0.001287641999563	4608928	501069	0	22.1079515183133	2.40351100284702	0	2.59533432701659	2.53204070540118	0
Donor4_03_DC_plus_Afu_4h30min	ID-005874-DC_+_Afu_4.5h.fq.gz	18383621	2023439	1	87.9465277531935	9.68005346554926	4.78E-06	0.437815047495087	5.07728739724982	0.000322296878411	4465501	228333	1	21.3627830789382	1.09233618999597	4.78E-06	2.51758727573397	1.15521491618637	0.000408068831327
Donor4_04_DC_plus_CMV_0h	ID-005875-DC_+_CMV_0h.fq.gz	24190913	64278	151491	109.430994329209	0.290770565521563	0.685290826432482	0.576234086733971	0.161321052026193	48.8348649548134	6169534	164	118760	27.9087540089068	0.000741877045732	0.53722754848223	3.4789946861016	0.000829898563131	48.4719702165766
Donor4_05_DC_plus_CMV_0h_plus_Afu_0h	ID-005876-DC_+_Afu_0h_+_CMV_0h.fq.gz	19210067	3300793	110614	89.2483811882166	15.3352110582122	0.513903488038505	0.457170671280348	8.27655825502814	35.6250967544204	4852267	510831	82902	22.5432308405277	2.37327854248285	0.385155829871157	2.73368764569221	2.58262413773796	33.8055719478624
Donor4_06_DC_plus_CMV_0h_plus_Afu_4h30min	ID-005877-DC_+_Afu_4.5h_+_CMV_0h.fq.gz	17587463	2059433	65508	88.9390668384751	10.4144667844567	0.331271223737888	0.41868563724975	5.16552583971892	21.1045297498363	4332658	243298	49239	21.910070795899	1.2303478383248	0.248999569298862	2.44170950195675	1.23043275581114	20.0848174388909
Donor4_07_DC_plus_Afu_0h_plus_CMV_2h	ID-005878-DC_+_Afu_0h_+_CMV_2h.fq.gz	20236114	5175713	112146	86.3810255132067	22.0933424619982	0.478712784836263	0.481038056199589	12.9629698050064	36.0771796987557	5273735	736805	85209	22.5117647382739	3.14516766921052	0.36372797677236	2.96773651061815	3.72082600673568	34.7065612251667
Donor4_08_DC_plus_CMV_2h	ID-005879-DC_+_CMV_2h.fq.gz	25378874	96919	110813	109.241528843195	0.417180830558269	0.476986549352072	0.602894160487973	0.242582605858938	35.6250853512334	7096814	717	85350	30.5477229319076	0.00308627467793	0.367382906222188	3.99104724352118	0.003618448222677	34.7412988789758
Donor4_09_Afu_alone_0h	ID-005880-Afu_alone_0h.fq.gz	379188	28009667	369	1.4292442887973	105.574692740446	0.001390843440632	0.008990744487215	69.9730848545497	0.118403328094303	112037	5053361	291	0.422292483897124	19.0472466124481	0.001096844014157	0.06288647614279	25.4539902740774	0.11822460117409
Donor4_10_Afu_alone_4h30min	ID-005881-Afu_alone_4.5h.fq.gz	457475	24494547	416	1.87547355732945	100.418329301631	0.001705441827092	0.01082288414926	61.0558189156429	0.133188107400131	147689	5257654	320	0.605468745195758	21.5543823172576	0.001311878328533	0.082713902511804	26.4242168819339	0.129717753971676
